theta2,intensity,time
9.9,2264.0,1.0
9.92,2305.0,1.0
9.94,2390.0,1.0
9.96,2318.0,1.0
9.98,2362.0,1.0
10.0,2314.0,1.0
10.02,2284.0,1.0
10.04,2307.0,1.0
10.06,2313.0,1.0
10.08,2321.0,1.0
10.1,2299.0,1.0
10.12,2278.0,1.0
10.14,2307.0,1.0
10.16,2310.0,1.0
10.18,2284.0,1.0
10.2,2288.0,1.0
10.22,2311.0,1.0
10.24,2274.0,1.0
10.26,2247.0,1.0
10.28,2217.0,1.0
10.3,2231.0,1.0
10.32,2252.0,1.0
10.34,2195.0,1.0
10.36,2232.0,1.0
10.38,2221.0,1.0
10.4,2238.0,1.0
10.42,2253.0,1.0
10.44,2176.0,1.0
10.46,2206.0,1.0
10.48,2237.0,1.0
10.5,2162.0,1.0
10.52,2158.0,1.0
10.54,2257.0,1.0
10.56,2172.0,1.0
10.58,2118.0,1.0
10.6,2154.0,1.0
10.62,2136.0,1.0
10.64,2196.0,1.0
10.66,2224.0,1.0
10.68,2182.0,1.0
10.7,2190.0,1.0
10.72,2142.0,1.0
10.74,2125.0,1.0
10.76,2134.0,1.0
10.78,2115.0,1.0
10.8,2150.0,1.0
10.82,2121.0,1.0
10.84,2066.0,1.0
10.86,2188.0,1.0
10.88,2104.0,1.0
10.9,2084.0,1.0
10.92,2122.0,1.0
10.94,2169.0,1.0
10.96,2134.0,1.0
10.98,2089.0,1.0
11.0,2096.0,1.0
11.02,2095.0,1.0
11.04,2014.0,1.0
11.06,2027.0,1.0
11.08,2083.0,1.0
11.1,2023.0,1.0
11.12,2014.0,1.0
11.14,2119.0,1.0
11.16,2030.0,1.0
11.18,1978.0,1.0
11.2,2000.0,1.0
11.22,1994.0,1.0
11.24,2046.0,1.0
11.26,2002.0,1.0
11.28,2059.0,1.0
11.3,1929.0,1.0
11.32,1937.0,1.0
11.34,2013.0,1.0
11.36,2112.0,1.0
11.38,2041.0,1.0
11.4,2041.0,1.0
11.42,2022.0,1.0
11.44,2018.0,1.0
11.46,1951.0,1.0
11.48,2020.0,1.0
11.5,1961.0,1.0
11.52,1929.0,1.0
11.54,1974.0,1.0
11.56,2046.0,1.0
11.58,2064.0,1.0
11.6,1989.0,1.0
11.62,1973.0,1.0
11.64,2022.0,1.0
11.66,1895.0,1.0
11.68,1951.0,1.0
11.7,1947.0,1.0
11.72,1983.0,1.0
11.74,1907.0,1.0
11.76,1931.0,1.0
11.78,1964.0,1.0
11.8,1936.0,1.0
11.82,1920.0,1.0
11.84,1869.0,1.0
11.86,1963.0,1.0
11.88,1907.0,1.0
11.9,1991.0,1.0
11.92,1928.0,1.0
11.94,1897.0,1.0
11.96,1888.0,1.0
11.98,1977.0,1.0
12.0,1894.0,1.0
12.02,1930.0,1.0
12.04,1801.0,1.0
12.06,1956.0,1.0
12.08,1826.0,1.0
12.1,1938.0,1.0
12.12,1874.0,1.0
12.14,1934.0,1.0
12.16,1831.0,1.0
12.18,1904.0,1.0
12.2,1888.0,1.0
12.22,1818.0,1.0
12.24,1776.0,1.0
12.26,1850.0,1.0
12.28,1854.0,1.0
12.3,1873.0,1.0
12.32,1839.0,1.0
12.34,1821.0,1.0
12.36,1755.0,1.0
12.38,1807.0,1.0
12.4,1751.0,1.0
12.42,1849.0,1.0
12.44,1876.0,1.0
12.46,1793.0,1.0
12.48,1785.0,1.0
12.5,1863.0,1.0
12.52,1777.0,1.0
12.54,1769.0,1.0
12.56,1767.0,1.0
12.58,1754.0,1.0
12.6,1724.0,1.0
12.62,1819.0,1.0
12.64,1793.0,1.0
12.66,1741.0,1.0
12.68,1692.0,1.0
12.7,1723.0,1.0
12.72,1784.0,1.0
12.74,1790.0,1.0
12.76,1732.0,1.0
12.78,1748.0,1.0
12.8,1743.0,1.0
12.82,1664.0,1.0
12.84,1793.0,1.0
12.86,1704.0,1.0
12.88,1700.0,1.0
12.9,1720.0,1.0
12.92,1724.0,1.0
12.94,1684.0,1.0
12.96,1715.0,1.0
12.98,1685.0,1.0
13.0,1680.0,1.0
13.02,1708.0,1.0
13.04,1706.0,1.0
13.06,1742.0,1.0
13.08,1678.0,1.0
13.1,1733.0,1.0
13.12,1637.0,1.0
13.14,1686.0,1.0
13.16,1653.0,1.0
13.18,1722.0,1.0
13.2,1672.0,1.0
13.22,1730.0,1.0
13.24,1710.0,1.0
13.26,1672.0,1.0
13.28,1654.0,1.0
13.3,1694.0,1.0
13.32,1702.0,1.0
13.34,1596.0,1.0
13.36,1660.0,1.0
13.38,1635.0,1.0
13.4,1681.0,1.0
13.42,1612.0,1.0
13.44,1568.0,1.0
13.46,1640.0,1.0
13.48,1615.0,1.0
13.5,1620.0,1.0
13.52,1547.0,1.0
13.54,1590.0,1.0
13.56,1590.0,1.0
13.58,1635.0,1.0
13.6,1590.0,1.0
